,name\fold,
0,test acc,0.4896265560165975
1,test auc,0.48305084745762716
2,test n_precision,
3,test n_recall,0.0
4,test n_specificity,1.0
5,test n_f1,
6,test s_precision,0.4896265560165975
7,test s_recall,1.0
8,test s_specificity,0.0
9,test s_f1,0.6573816155988857
10,best valid acc,0.0
11,best valid loss,0.0
12,train acc,0.0
13,train loss,0.0
14,epoch index,0.0
