,name\fold,
0,test acc,0.5726141078838174
1,test auc,0.5949772633319553
2,test n_precision,0.6282051282051282
3,test n_recall,0.3983739837398374
4,test n_specificity,0.7542372881355932
5,test n_f1,0.4875621890547263
6,test s_precision,0.5460122699386503
7,test s_recall,0.7542372881355932
8,test s_specificity,0.3983739837398374
9,test s_f1,0.6334519572953736
10,best valid acc,0.0
11,best valid loss,0.0
12,train acc,0.0
13,train loss,0.0
14,epoch index,0.0
